// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4938D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
44365	9.136604	-2.099612	0.423550	-0.442721	0.095979	-0.439318	-68.697808	-75.410955	-136.262310			
44366	9.229421	-2.022047	0.373753	-0.535766	0.014211	-0.372174	-69.032096	-75.330082	-135.986726			
44367	9.290947	-2.050786	0.503470	-0.415157	-0.047774	-0.293958	-69.499009	-75.261253	-135.584616			
44368	9.476230	-2.031640	0.476281	-0.476321	-0.108104	-0.121727	-69.988219	-75.187393	-135.155986			
44369	9.668168	-2.033058	0.345323	-0.620169	-0.109792	0.052875	-70.530912	-75.112073	-134.659964			
44370	9.746302	-1.979195	0.149835	-0.826933	-0.112134	0.098600	-70.993356	-75.017952	-134.241244			
44371	9.688757	-2.020307	0.035796	-0.898216	-0.041651	0.043597	-71.439072	-74.920535	-133.843627			
44372	9.687299	-2.106085	0.071833	-0.831468	-0.004093	0.066236	-71.738583	-74.825528	-133.588412			
44373	9.589605	-2.165317	0.202399	-0.674906	-0.009244	-0.002770	-71.920008	-74.735841	-133.450603			
44374	9.280519	-2.116481	0.053523	-0.778835	0.058420	-0.325834	-71.998202	-74.653822	-133.436468			
44375	9.148557	-2.201017	0.046318	-0.731082	0.150088	-0.432618	-72.110168	-74.590497	-133.394641			
44376	9.099236	-2.165508	0.121224	-0.673131	0.087292	-0.483192	-72.201698	-74.546158	-133.359411			
44377	9.230172	-2.256368	0.169337	-0.615722	0.112872	-0.329856	-72.361064	-74.524003	-133.244112			
44378	9.363437	-2.319571	0.263745	-0.527711	0.095342	-0.177525	-72.489305	-74.517400	-133.129525			
44379	9.490014	-2.352210	0.181270	-0.604933	0.130607	-0.053430	-72.673374	-74.527454	-132.944559			
44380	9.619006	-2.319409	0.163366	-0.652780	0.081320	0.061465	-72.782151	-74.536302	-132.801228			
44381	9.652404	-2.222872	0.253297	-0.612229	-0.052153	0.076533	-72.874383	-74.548382	-132.648137			
44382	9.646894	-2.204087	0.351737	-0.529024	-0.110882	0.074280	-72.858121	-74.557884	-132.580663			
44383	9.763128	-2.157124	0.496198	-0.438052	-0.236148	0.185833	-72.797807	-74.577156	-132.547741			
44384	9.718165	-2.160372	0.591573	-0.345196	-0.259978	0.150903	-72.627007	-74.599115	-132.637428			
44385	9.814170	-2.199412	0.704004	-0.246992	-0.284865	0.262470	-72.453063	-74.635816	-132.728336			
44386	9.978984	-2.280511	0.778546	-0.181266	-0.265181	0.448102	-72.151786	-74.675381	-132.950856			
44387	10.094793	-2.379392	0.870267	-0.085443	-0.224606	0.592405	-71.792020	-74.716677	-133.234685			
44388	10.235874	-2.561204	0.838466	-0.078523	-0.058150	0.771561	-71.276448	-74.745959	-133.677903			
44389	10.321870	-2.703985	0.944380	0.042010	0.028108	0.899070	-70.653680	-74.766501	-134.232110			
44390	10.392181	-2.989742	1.150882	0.302601	0.205778	1.055913	-69.813148	-74.763741	-135.000950			
44391	10.353131	-3.387010	1.383082	0.642794	0.495637	1.137793	-68.820833	-74.742433	-135.933908			
44392	10.093608	-3.677302	1.358335	0.741640	0.845236	0.956892	-67.670218	-74.696467	-137.051023			
44393	9.592906	-3.828831	1.324610	0.824524	1.118056	0.507596	-66.522960	-74.645502	-138.188672			
44394	9.043143	-3.817741	1.408818	0.961447	1.203395	-0.016485	-65.355788	-74.595275	-139.331978			
44395	8.495281	-3.685273	1.759175	1.295744	1.065865	-0.537426	-64.170046	-74.563805	-140.434498			
44396	8.076019	-3.523233	2.244387	1.715304	0.827527	-0.921952	-62.830577	-74.554419	-141.608741			
44397	7.942646	-3.297735	2.763772	2.087255	0.479438	-1.037024	-61.417891	-74.589952	-142.756027			
44398	8.244098	-2.976596	2.900579	1.991965	0.148363	-0.798904	-59.945854	-74.666942	-143.894508			
44399	9.128387	-2.778176	3.162782	1.940683	-0.203897	0.048374	-58.474591	-74.790167	-144.958856			
44400	10.184674	-2.596267	3.209521	1.667999	-0.462104	1.039630	-56.957454	-74.927159	-146.019453			
44401	11.191031	-2.353712	3.071145	1.223639	-0.684352	1.945066	-55.553930	-75.075426	-146.938140			
44402	11.817735	-1.883084	2.918382	0.768230	-1.053763	2.435604	-54.164797	-75.191908	-147.833744			
44403	11.995272	-1.291583	2.803838	0.408090	-1.496256	2.475945	-52.892872	-75.281385	-148.636268			
44404	11.936509	-0.873349	2.738272	0.203666	-1.777490	2.333909	-51.601494	-75.329376	-149.496635			
44405	11.844287	-0.540225	2.920655	0.260481	-2.072739	2.218301	-50.179360	-75.342112	-150.522973			
44406	11.558315	-0.237445	3.083407	0.341312	-2.303886	1.923302	-48.494203	-75.304096	-151.855824			
44407	11.280101	-0.117176	3.124960	0.363506	-2.323567	1.654137	-46.778644	-75.237701	-153.297083			
44408	11.024682	-0.224643	3.122418	0.405051	-2.124226	1.441939	-45.128781	-75.118012	-154.756006			
44409	10.525580	-0.175987	3.186175	0.510755	-2.079037	0.975582	-43.665389	-74.946093	-156.095997			
