// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B49380
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
44365	8.850206	2.425624	2.938871	-1.267819	-0.338926	-0.266771	53.312677	-72.977259	-28.509386			
44366	8.903191	2.501731	2.958647	-1.298180	-0.298523	-0.194753	53.571240	-72.929122	-28.887822			
44367	8.930602	2.509604	2.920189	-1.262354	-0.292078	-0.174098	53.887888	-72.890279	-29.349712			
44368	8.930138	2.520025	2.912622	-1.260689	-0.291515	-0.173863	54.162102	-72.846612	-29.785738			
44369	8.994628	2.524721	3.018924	-1.344669	-0.354053	-0.093739	54.482750	-72.819527	-30.289199			
44370	8.981920	2.471958	3.077351	-1.384533	-0.433162	-0.109545	54.750471	-72.804102	-30.765379			
44371	9.022166	2.443452	3.066039	-1.362099	-0.466111	-0.081400	54.984682	-72.807761	-31.239354			
44372	9.111342	2.390649	3.101146	-1.357211	-0.542648	-0.003897	55.095462	-72.808553	-31.588259			
44373	9.165747	2.401121	3.235335	-1.473907	-0.594774	0.072530	55.156178	-72.816726	-31.885882			
44374	9.234842	2.320054	3.258564	-1.451091	-0.682581	0.122684	55.158992	-72.823103	-32.091069			
44375	9.199929	2.263872	3.299995	-1.483434	-0.740308	0.082015	55.230493	-72.845259	-32.340599			
44376	9.126680	2.094268	3.218364	-1.373551	-0.845691	-0.043436	55.309487	-72.864460	-32.550218			
44377	9.053582	1.952302	3.283669	-1.408623	-0.988408	-0.137971	55.432500	-72.886092	-32.769100			
44378	9.103681	1.876531	3.434720	-1.510565	-1.123815	-0.083818	55.458627	-72.901699	-32.870624			
44379	9.184621	1.791792	3.222994	-1.276567	-1.124038	-0.062693	55.406454	-72.947087	-32.918752			
44380	9.658754	1.733500	2.563740	-0.536976	-0.977952	0.268212	54.934892	-72.903565	-32.523120			
44381	8.938196	1.688075	2.716205	-0.817434	-0.950895	-0.402786	54.443492	-72.827508	-32.035359			
44382	8.945983	1.647920	2.921527	-0.963639	-1.059382	-0.366490	54.110921	-72.754596	-31.639744			
44383	8.820178	1.642948	3.094054	-1.133969	-1.109856	-0.455855	53.954296	-72.703429	-31.410637			
44384	8.767777	1.668754	3.058291	-1.112516	-1.064639	-0.504592	53.898366	-72.662648	-31.287811			
44385	8.875551	1.873343	2.794636	-0.911681	-0.795254	-0.398272	53.853251	-72.604214	-31.165814			
44386	8.786982	2.146501	2.568162	-0.810828	-0.445718	-0.455452	53.615879	-72.507170	-30.828166			
44387	8.639279	2.345354	2.375716	-0.726345	-0.166030	-0.580858	53.333331	-72.397858	-30.433057			
44388	8.424415	2.192568	2.142249	-0.495848	-0.175990	-0.863358	53.107691	-72.289051	-30.061052			
44389	8.381147	1.903404	2.402830	-0.622613	-0.538842	-0.926622	53.069627	-72.230342	-29.886523			
44390	8.409438	1.532999	2.249278	-0.335535	-0.818918	-1.018100	53.142281	-72.196208	-29.795343			
44391	8.527457	1.392106	2.024146	-0.049396	-0.879384	-0.982235	53.314126	-72.172090	-29.766499			
44392	8.646539	1.371653	1.773779	0.218743	-0.821053	-0.920647	53.474529	-72.118388	-29.660832			
44393	8.799348	1.414092	1.914233	0.125936	-0.876545	-0.740297	53.658626	-72.053862	-29.526876			
44394	9.051971	1.446123	1.652964	0.424982	-0.787143	-0.541144	53.853591	-71.975234	-29.331089			
44395	9.865456	1.671693	1.280197	0.903046	-0.562270	0.218713	54.010817	-71.843510	-29.066131			
44396	9.367939	1.433522	1.159984	0.992764	-0.652777	-0.339195	53.892794	-71.666696	-28.623709			
44397	9.646623	1.488109	1.260694	0.981343	-0.698975	-0.044907	54.074254	-71.572629	-28.534618			
44398	10.362952	1.618693	0.872879	1.475094	-0.530356	0.594794	54.403868	-71.541531	-28.575859			
44399	10.767336	1.975745	0.894164	1.421722	-0.299880	1.074341	54.745347	-71.525825	-28.596792			
44400	10.551874	1.986140	0.954607	1.300678	-0.293590	0.884046	54.997653	-71.523700	-28.499147			
44401	10.251491	1.964947	1.246650	0.962943	-0.406585	0.647505	55.246051	-71.562300	-28.398569			
44402	9.883848	1.776057	1.415279	0.781201	-0.595247	0.281035	55.460574	-71.643028	-28.271793			
44403	9.734387	1.658689	1.615069	0.594565	-0.770307	0.145778	55.811573	-71.786407	-28.294410			
44404	9.851536	1.629874	1.670328	0.560581	-0.841022	0.260920	56.284091	-71.975810	-28.429249			
44405	10.005047	1.675473	1.579029	0.615983	-0.787371	0.405037	56.960994	-72.217155	-28.772318			
44406	10.052696	1.587178	1.514867	0.669671	-0.846596	0.419868	57.666484	-72.483936	-29.174112			
44407	9.921982	1.552683	1.603958	0.516890	-0.908523	0.303457	58.382596	-72.756176	-29.605537			
44408	9.805398	1.495854	1.674355	0.398813	-0.979355	0.190734	59.012425	-73.021516	-29.959591			
44409	9.547461	1.499172	1.763839	0.202814	-0.988154	-0.040540	59.673871	-73.286563	-30.358808			
44410	9.310860	1.451611	1.789047	0.095412	-1.010473	-0.274888	60.304730	-73.544435	-30.744069			
44411	8.954288	1.488089	1.713632	0.005951	-0.895535	-0.618777	61.032554	-73.806401	-31.245756			
44412	8.927698	1.427441	1.718565	-0.024651	-0.952103	-0.659135	61.787421	-74.057372	-31.796402			
44413	8.711768	1.408052	1.627077	-0.038183	-0.900676	-0.884529	62.655269	-74.301317	-32.492746			
44414	8.704268	1.372395	1.511714	0.026942	-0.882125	-0.915837	63.571441	-74.527721	-33.254961			
44415	9.107551	1.331633	1.388733	0.190237	-0.928710	-0.552538	64.615504	-74.734572	-34.171101			
44416	9.165129	1.269317	1.317074	0.247278	-0.970848	-0.520672	65.579684	-74.892359	-35.038868			
44417	9.317280	1.173922	1.208518	0.376827	-1.039374	-0.409079	66.528747	-75.000114	-35.922524			
44418	9.472475	1.052564	1.060599	0.562136	-1.110997	-0.304264	67.371523	-75.052382	-36.704630			
44419	9.605956	0.951302	0.972010	0.688082	-1.196746	-0.209645	68.189235	-75.065549	-37.468744			
44420	9.640478	0.703331	1.026188	0.752412	-1.463757	-0.232616	68.864574	-75.041006	-38.086986			
44421	9.811260	0.542490	1.122119	0.770814	-1.702526	-0.100764	69.522486	-74.995452	-38.682526			
44422	9.985510	0.425966	1.180837	0.808046	-1.883166	0.040582	69.994216	-74.923473	-39.063424			
44423	10.088058	0.416334	1.204567	0.814549	-1.943565	0.134788	70.384029	-74.833871	-39.306149			
44424	10.264631	0.458971	1.248570	0.802700	-1.978840	0.315099	70.619764	-74.730835	-39.338069			
44425	10.094932	0.509152	1.239957	0.765131	-1.921325	0.158642	70.799956	-74.622037	-39.286979			
44426	9.931575	0.566851	1.254879	0.708103	-1.867998	0.012858	70.971009	-74.516712	-39.215220			
44427	9.822121	0.650326	1.267392	0.646728	-1.804175	-0.074622	71.265860	-74.419729	-39.253507			
44428	9.694467	0.863140	1.231000	0.555702	-1.604712	-0.150435	71.581982	-74.325427	-39.301383			
44429	9.573076	0.899715	1.421528	0.360264	-1.678406	-0.245707	71.992576	-74.234713	-39.455590			
44430	9.581286	0.901508	1.559058	0.255958	-1.774581	-0.229905	72.334569	-74.134348	-39.544516			
44431	9.411079	0.952627	1.541271	0.218401	-1.717029	-0.386370	72.705950	-74.020157	-39.666788			
44432	9.191721	0.945777	1.535660	0.192831	-1.703487	-0.603921	73.022140	-73.896915	-39.742116			
44433	8.953932	0.841759	1.577786	0.174152	-1.792987	-0.861393	73.340155	-73.764367	-39.822522			
44434	8.891267	0.878253	1.674348	0.077811	-1.828469	-0.908757	73.620206	-73.626777	-39.858097			
44435	8.925631	1.078375	1.808498	-0.116095	-1.775442	-0.816316	74.008311	-73.475982	-40.005973			
44436	8.945049	1.177063	1.768577	-0.115516	-1.706426	-0.779310	74.401971	-73.304883	-40.155814			
44437	8.967444	1.162653	1.666300	-0.004343	-1.698823	-0.776249	74.899370	-73.111368	-40.402159			
44438	8.843114	1.283035	1.575703	-0.004673	-1.564944	-0.875101	75.387316	-72.888180	-40.635124			
44439	8.875518	1.358814	1.345526	0.165444	-1.421159	-0.846954	75.975138	-72.645494	-40.992860			
44440	8.908134	1.420366	1.400630	0.114299	-1.453851	-0.801189	76.430352	-72.384971	-41.241686			
44441	8.902476	1.506610	1.349380	0.130996	-1.397765	-0.791952	76.774552	-72.104287	-41.393552			
44442	8.939912	1.618245	1.389233	0.075660	-1.379743	-0.726374	77.009035	-71.825737	-41.441018			
44443	9.047028	1.664190	1.469611	0.039866	-1.451730	-0.611128	77.232939	-71.551735	-41.493141			
44444	9.088423	1.754312	1.238895	0.215059	-1.288935	-0.565843	77.442279	-71.296031	-41.515546			
44445	9.164620	1.797823	0.931037	0.479194	-1.125852	-0.507208	77.809397	-71.059303	-41.671101			
44446	9.276683	1.826945	0.836536	0.583209	-1.109215	-0.403983	78.276362	-70.845980	-41.900790			
44447	9.377830	1.948670	0.605156	0.733334	-0.941981	-0.289980	78.916723	-70.650993	-42.259152			
44448	9.486654	2.297360	0.443694	0.697045	-0.646305	-0.088102	79.603158	-70.470503	-42.646519			
44449	9.744596	2.525616	0.321077	0.726255	-0.506093	0.220018	80.353234	-70.290113	-43.141858			
44450	9.896781	2.734887	0.204396	0.732828	-0.360647	0.424516	81.055481	-70.124965	-43.663455			
44451	9.971518	2.745301	0.414347	0.572703	-0.547949	0.507735	81.671609	-69.972066	-44.214187			
44452	10.000354	2.577427	0.820640	0.348173	-0.971618	0.495477	82.173626	-69.852648	-44.799133			
44453	10.119801	2.403263	1.314086	0.071617	-1.469671	0.567471	82.666960	-69.780579	-45.541180			
44454	10.097246	2.404789	1.574069	-0.165254	-1.647023	0.554326	83.157572	-69.766621	-46.373455			
44455	10.625781	2.335908	2.008644	-0.385996	-2.113701	1.040027	83.686208	-69.806370	-47.301240			
44456	11.477283	1.821431	2.079700	-0.007622	-2.770421	1.663169	84.017680	-69.900192	-48.058094			
44457	12.401843	0.982496	1.655444	0.950709	-3.396205	2.231945	84.233707	-70.042296	-48.676151			
44458	13.351424	0.255237	1.039447	2.001789	-3.825872	2.866483	84.324831	-70.237007	-49.117072			
