// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B492A8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
44365	9.425746	0.183258	-1.425280	0.651966	-0.526439	-0.314930	156.160663	-77.393136	-68.795188			
44366	9.446626	0.150957	-1.425272	0.660289	-0.515163	-0.294732	156.697925	-77.517517	-69.150817			
44367	9.565402	0.636377	-1.516674	0.170760	-0.424446	-0.117696	157.170938	-77.567256	-69.199285			
44368	9.727555	1.683074	-1.480734	-0.874153	-0.469081	0.120411	157.573688	-77.573839	-69.036883			
44369	9.504939	2.583965	-1.545477	-1.795437	-0.358817	-0.011826	157.832224	-77.600445	-68.810923			
44370	9.315431	2.755393	-1.745458	-1.988372	-0.133385	-0.146011	158.246669	-77.660699	-68.936244			
44371	9.175221	1.932512	-1.857079	-1.198812	0.000091	-0.329502	158.902426	-77.763601	-69.420204			
44372	8.988103	1.224292	-2.149264	-0.529204	0.325691	-0.511180	159.595382	-77.836336	-70.000644			
44373	9.091317	0.976876	-2.132001	-0.302204	0.286390	-0.433010	160.373469	-77.860060	-70.627447			
44374	9.326902	0.844224	-2.087441	-0.179341	0.187208	-0.221340	161.089202	-77.839518	-71.163960			
44375	9.311026	0.800135	-1.908448	-0.160532	0.004097	-0.275824	161.781384	-77.826727	-71.624209			
44376	9.263732	0.875992	-1.663760	-0.263536	-0.238955	-0.366758	162.570201	-77.801960	-72.127101			
44377	9.306741	0.960150	-1.437295	-0.366898	-0.486335	-0.366422	163.365556	-77.754327	-72.590614			
44378	9.253130	1.351797	-1.317703	-0.778975	-0.621474	-0.421680	164.066712	-77.676974	-72.909481			
44379	9.282848	1.929628	-1.394777	-1.368126	-0.595346	-0.346230	164.668865	-77.571335	-73.116931			
44380	9.234840	2.434333	-1.454045	-1.884819	-0.576006	-0.355517	165.088951	-77.465798	-73.207204			
44381	8.974025	2.659615	-1.509236	-2.133424	-0.505380	-0.588941	165.466790	-77.367448	-73.381025			
44382	8.863878	2.565208	-1.622094	-2.058227	-0.392485	-0.680907	165.939697	-77.253921	-73.831279			
44383	8.988095	2.138006	-1.846444	-1.644913	-0.201481	-0.537997	166.556944	-77.149234	-74.601206			
44384	9.012192	1.343399	-1.924439	-0.871252	-0.116164	-0.541487	167.208798	-77.052937	-75.528845			
44385	9.101242	0.567846	-2.133274	-0.114518	0.075559	-0.448552	167.805045	-76.938434	-76.446429			
44386	9.008476	0.255085	-2.074541	0.177531	0.023177	-0.566646	168.387098	-76.808715	-77.298699			
