// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B492A8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
14665	8.869426	1.958633	-3.412124	-0.084950	0.093312	-0.110646	150.485447	-65.342296	140.854530			
14666	8.920760	1.943798	-3.474180	-0.089672	0.053484	-0.044508	150.623379	-65.347999	140.745535			
14667	8.901848	1.965825	-3.457327	-0.061778	0.078960	-0.063307	150.763087	-65.355409	140.644661			
14668	8.893177	2.000989	-3.422401	-0.030694	0.127896	-0.076771	150.904038	-65.365682	140.551727			
14669	8.875925	2.056002	-3.397303	0.024678	0.173664	-0.090544	151.052052	-65.381102	140.456567			
14670	8.859207	2.110595	-3.371486	0.079936	0.219310	-0.104311	151.194538	-65.403870	140.371185			
14671	8.859449	2.114969	-3.283152	0.066456	0.303938	-0.135641	151.341468	-65.433131	140.283761			
14672	8.869565	2.073841	-3.231933	0.021651	0.339207	-0.153503	151.487007	-65.477867	140.198468			
14673	8.920613	2.085688	-3.107995	-0.009875	0.468998	-0.150028	151.629603	-65.529084	140.119436			
14674	8.981184	2.052053	-3.021476	-0.072714	0.549414	-0.133083	151.782932	-65.590274	140.040614			
14675	9.084411	2.031013	-3.001725	-0.115833	0.587092	-0.050322	151.936859	-65.655641	139.964445			
14676	9.169046	2.015824	-3.009484	-0.138162	0.597690	0.026805	152.107974	-65.726609	139.877518			
14677	9.135029	1.954928	-3.117976	-0.130874	0.470943	0.023640	152.299861	-65.798235	139.776507			
14678	9.124850	1.936567	-3.273776	-0.076141	0.326747	0.067505	152.518966	-65.877680	139.658473			
14679	8.961872	1.889334	-3.354854	-0.021606	0.196470	-0.060730	152.743083	-65.959402	139.536247			
14680	8.831769	1.950607	-3.369674	0.097627	0.177404	-0.162886	152.966377	-66.027022	139.420336			
14681	8.811838	2.026761	-3.393540	0.197641	0.187709	-0.158775	153.204951	-66.083874	139.287687			
14682	8.809360	2.036627	-3.445655	0.242198	0.151882	-0.140901	153.452559	-66.144757	139.147552			
14683	8.762738	2.000294	-3.436784	0.239748	0.138832	-0.193880	153.698830	-66.207476	139.023729			
14684	8.869035	2.066316	-3.357225	0.258418	0.269424	-0.114182	153.935115	-66.268693	138.930694			
14685	8.905275	2.173431	-3.200751	0.309602	0.465460	-0.119391	154.180385	-66.337845	138.838319			
14686	8.913464	2.083258	-3.112205	0.216800	0.512526	-0.160439	154.447546	-66.418284	138.722453			
14687	8.964345	2.055309	-2.994089	0.157684	0.621967	-0.161957	154.712190	-66.500590	138.609003			
14688	8.992259	2.019494	-2.820846	0.078356	0.768728	-0.205443	154.955184	-66.580486	138.523369			
14689	8.928681	2.102488	-2.687494	0.145113	0.906703	-0.298424	155.219991	-66.662325	138.389031			
14690	8.857109	1.909459	-2.778755	0.046659	0.732708	-0.364046	155.533357	-66.736046	138.178060			
14691	8.833876	1.773984	-3.017117	0.036497	0.471968	-0.322522	155.872485	-66.783588	137.940692			
14692	8.743667	1.697321	-3.263734	0.099667	0.211822	-0.329558	156.156375	-66.832354	137.778434			
14693	8.658529	1.803634	-3.348668	0.266156	0.170525	-0.360870	156.433416	-66.870265	137.638978			
14694	8.644578	1.798638	-3.422975	0.307469	0.111051	-0.348350	156.714767	-66.890914	137.478456			
14695	8.704278	1.688381	-3.526191	0.244377	0.001704	-0.273853	157.000643	-66.920034	137.291589			
14696	8.563661	1.330112	-3.551550	-0.007181	-0.202161	-0.449032	157.308621	-66.958493	137.096477			
14697	8.685930	1.206053	-3.508612	-0.150327	-0.175152	-0.370389	157.622290	-66.978964	136.910716			
14698	8.697996	1.023208	-3.597520	-0.267555	-0.314789	-0.353643	157.958795	-66.985787	136.714420			
14699	8.633154	0.883664	-3.712956	-0.314466	-0.476883	-0.390803	158.312846	-66.983536	136.513122			
14700	8.611151	0.656705	-3.855974	-0.441373	-0.687326	-0.390138	158.690920	-66.953706	136.310096			
14701	8.580062	0.609051	-4.002872	-0.409996	-0.822707	-0.369890	158.960726	-66.885290	136.215038			
14702	8.602598	0.716896	-4.239165	-0.228726	-0.952027	-0.245532	159.164188	-66.815122	136.169580			
14703	8.612559	0.637785	-4.276340	-0.283942	-0.998233	-0.231826	159.401074	-66.745306	136.039580			
14704	8.556578	0.221092	-4.384733	-0.592215	-1.269593	-0.298113	159.725108	-66.631938	135.772125			
14705	8.714640	-0.065548	-4.785064	-0.740080	-1.662032	-0.038441	160.090613	-66.469074	135.431622			
14706	8.850593	-0.190879	-4.852941	-0.866729	-1.701816	0.100585	160.415612	-66.307317	135.167971			
14707	9.187047	0.235690	-4.331216	-0.787243	-0.943643	0.272279	160.566416	-66.176440	135.143381			
14708	9.362651	1.073480	-3.468595	-0.432990	0.232343	0.217330	160.611159	-66.083248	135.240762			
14709	9.320636	1.708705	-2.854756	-0.105540	1.038355	0.028767	160.593555	-66.000665	135.335033			
